asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
sm_rv_tile,art/reverie/environment/SM_RV_Tile.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3860triangles; 1 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_tileb,art/reverie/environment/SM_RV_TileB.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3616triangles; 1 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_wall,art/reverie/environment/SM_RV_Wall.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 21066triangles; 1 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_coping,art/reverie/environment/SM_RV_Coping.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 4210triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_buttress,art/reverie/environment/SM_RV_Buttress.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 8804triangles; 3 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_arch,art/reverie/environment/SM_RV_Arch.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 32188triangles; 26 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_rockbank,art/reverie/environment/SM_RV_RockBank.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3472triangles; 3 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_cliff,art/reverie/environment/SM_RV_Cliff.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 4094triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_tree,art/reverie/environment/SM_RV_Tree.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 81972triangles; 5 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_bough,art/reverie/environment/SM_RV_Bough.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 22008triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_fern,art/reverie/environment/SM_RV_Fern.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 18960triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_grass,art/reverie/environment/SM_RV_Grass.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3120triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_ivy,art/reverie/environment/SM_RV_Ivy.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3912triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_flowers,art/reverie/environment/SM_RV_Flowers.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 6120triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_crystalcluster,art/reverie/environment/SM_RV_CrystalCluster.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 1904triangles; 3 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_basin,art/reverie/environment/SM_RV_Basin.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 5432triangles; 20 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_rill,art/reverie/environment/SM_RV_Rill.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3928triangles; 3 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_bridge,art/reverie/environment/SM_RV_Bridge.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 18198triangles; 5 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_arrivalplinth,art/reverie/environment/SM_RV_ArrivalPlinth.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 1380triangles; 1 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_steps,art/reverie/environment/SM_RV_Steps.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 17600triangles; 8 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_rubble,art/reverie/environment/SM_RV_Rubble.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 4360triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_terrainpatch,art/reverie/environment/SM_RV_TerrainPatch.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 10894triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_ruincrown,art/reverie/environment/SM_RV_RuinCrown.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 16640triangles; 0 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
sm_rv_wallend,art/reverie/environment/SM_RV_WallEnd.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,New original Blender 5.2.1 LTS sculpted/procedural geometry; 3300triangles; 1 authored UCX; CraftUV1unit/m plus LightmapUV; original M_RV_ palette and vertex masks; no previous game geometry reused,original
reverie_environment_source,art/reverie/environment/Reverie_Environment.blend,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,Editable original Blender source; no external texture dependency,original
reverie_environment_kit_preview,art/reverie/environment/reverie-environment-kit.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,Actual Blender Cycles asset kit inspection; not gameplay footage,original
reverie_environment_detail_preview,art/reverie/environment/reverie-environment-detail.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_reverie_environment.py,Actual Blender Cycles architectural detail inspection; not gameplay footage,original
