asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
SM_VGear,assets/visual-overhaul/kit/SM_VGear.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VBearing,assets/visual-overhaul/kit/SM_VBearing.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VHeatSink,assets/visual-overhaul/kit/SM_VHeatSink.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VCoil,assets/visual-overhaul/kit/SM_VCoil.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VCore,assets/visual-overhaul/kit/SM_VCore.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VFrame,assets/visual-overhaul/kit/SM_VFrame.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VDeck,assets/visual-overhaul/kit/SM_VDeck.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VFurnace,assets/visual-overhaul/kit/SM_VFurnace.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VDock,assets/visual-overhaul/kit/SM_VDock.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VPress,assets/visual-overhaul/kit/SM_VPress.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VPad,assets/visual-overhaul/kit/SM_VPad.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VBarrier,assets/visual-overhaul/kit/SM_VBarrier.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
SM_VArm,assets/visual-overhaul/kit/SM_VArm.fbx,original: scripts/GenerateVisualKit.py,Game Studio / Codex / Blender,Original project asset; project distribution license unset,assets/visual-overhaul/kit/PROVENANCE.md,Beveled geometry; weighted normals; UV unwrap; multi-material FBX,original-project
